&a[0][0], 0x55ac54a78330
&a[13][12], 0x55a0ade3fae0
&b[12], 0x55a0ade3fc90
&a[13][13], 0x55a0ade3fae8
&b[13], 0x55a0ade3fc98
&a[13][14], 0x55a0ade3faf0
&b[14], 0x55a0ade3fca0
&a[13][15], 0x55a0ade3faf8
&b[15], 0x55a0ade3fca8
&c[13], 0x55a0ade3fd28
&a[14][0], 0x55a0ade3fb10
&b[0], 0x55a0ade3fc30
&a[14][1], 0x55a0ade3fb18
&b[1], 0x55a0ade3fc38
&a[14][2], 0x55a0ade3fb20
&b[2], 0x55a0ade3fc40
&a[14][3], 0x55a0ade3fb28
&b[3], 0x55a0ade3fc48
&a[14][4], 0x55a0ade3fb30
&b[4], 0x55a0ade3fc50
&a[14][5], 0x55a0ade3fb38
&b[5], 0x55a0ade3fc58
&a[14][6], 0x55a0ade3fb40
&b[6], 0x55a0ade3fc60
&a[14][7], 0x55a0ade3fb48
&b[7], 0x55a0ade3fc68
&a[14][8], 0x55a0ade3fb50
&b[8], 0x55a0ade3fc70
&a[14][9], 0x55a0ade3fb58
&b[9], 0x55a0ade3fc78
&a[14][10], 0x55a0ade3fb60
&b[10], 0x55a0ade3fc80
&a[14][11], 0x55a0ade3fb68
&b[11], 0x55a0ade3fc88
&a[14][12], 0x55a0ade3fb70
&b[12], 0x55a0ade3fc90
&a[14][13], 0x55a0ade3fb78
&b[13], 0x55a0ade3fc98
&a[14][14], 0x55a0ade3fb80
&b[14], 0x55a0ade3fca0
&a[14][15], 0x55a0ade3fb88
&b[15], 0x55a0ade3fca8
&c[14], 0x55a0ade3fd30
&a[15][0], 0x55a0ade3fba0
&b[0], 0x55a0ade3fc30
&a[15][1], 0x55a0ade3fba8
&b[1], 0x55a0ade3fc38
&a[15][2], 0x55a0ade3fbb0
&b[2], 0x55a0ade3fc40
&a[15][3], 0x55a0ade3fbb8
&b[3], 0x55a0ade3fc48
&a[15][4], 0x55a0ade3fbc0
&b[4], 0x55a0ade3fc50
&a[15][5], 0x55a0ade3fbc8
&b[5], 0x55a0ade3fc58
&a[15][6], 0x55a0ade3fbd0
&b[6], 0x55a0ade3fc60
&a[15][7], 0x55a0ade3fbd8
&b[7], 0x55a0ade3fc68
&a[15][8], 0x55a0ade3fbe0
&b[8], 0x55a0ade3fc70
&a[15][9], 0x55a0ade3fbe8
&b[9], 0x55a0ade3fc78
&a[15][10], 0x55a0ade3fbf0
&b[10], 0x55a0ade3fc80
&a[15][11], 0x55a0ade3fbf8
&b[11], 0x55a0ade3fc88
&a[15][12], 0x55a0ade3fc00
&b[12], 0x55a0ade3fc90
&a[15][13], 0x55a0ade3fc08
&b[13], 0x55a0ade3fc98
&a[15][14], 0x55a0ade3fc10
&b[14], 0x55a0ade3fca0
&a[15][15], 0x55a0ade3fc18
&b[15], 0x55a0ade3fca8
&c[15], 0x55a0ade3fd38
28799.000000,22046
&a[0][0], 0x556b1439e330
&b[0], 0x556b1439ec30
&a[0][1], 0x556b1439e338
&b[1], 0x556b1439ec38
&a[0][2], 0x556b1439e340
&b[2], 0x556b1439ec40
&a[0][3], 0x556b1439e348
&b[3], 0x556b1439ec48
&a[0][4], 0x556b1439e350
&b[4], 0x556b1439ec50
&a[0][5], 0x556b1439e358
&b[5], 0x556b1439ec58
&a[0][6], 0x556b1439e360
&b[6], 0x556b1439ec60
&a[0][7], 0x556b1439e368
&b[7], 0x556b1439ec68
&a[0][8], 0x556b1439e370
&b[8], 0x556b1439ec70
&a[0][9], 0x556b1439e378
&b[9], 0x556b1439ec78
&a[0][10], 0x556b1439e380
&b[10], 0x556b1439ec80
&a[0][11], 0x556b1439e388
&b[11], 0x556b1439ec88
&a[0][12], 0x556b1439e390
&b[12], 0x556b1439ec90
&a[0][13], 0x556b1439e398
&b[13], 0x556b1439ec98
&a[0][14], 0x556b1439e3a0
&b[14], 0x556b1439eca0
&a[0][15], 0x556b1439e3a8
&b[15], 0x556b1439eca8
&c[0], 0x556b1439ecc0
&a[1][0], 0x556b1439e3c0
&b[0], 0x556b1439ec30
&a[1][1], 0x556b1439e3c8
&b[1], 0x556b1439ec38
&a[1][2], 0x556b1439e3d0
&b[2], 0x556b1439ec40
&a[1][3], 0x556b1439e3d8
&b[3], 0x556b1439ec48
&a[1][4], 0x556b1439e3e0
&b[4], 0x556b1439ec50
&a[1][5], 0x556b1439e3e8
&b[5], 0x556b1439ec58
&a[1][6], 0x556b1439e3f0
&b[6], 0x556b1439ec60
&a[1][7], 0x556b1439e3f8
&b[7], 0x556b1439ec68
&a[1][8], 0x556b1439e400
&b[8], 0x556b1439ec70
&a[1][9], 0x556b1439e408
&b[9], 0x556b1439ec78
&a[1][10], 0x556b1439e410
&b[10], 0x556b1439ec80
&a[1][11], 0x556b1439e418
&b[11], 0x556b1439ec88
&a[1][12], 0x556b1439e420
&b[12], 0x556b1439ec90
&a[1][13], 0x556b1439e428
&b[13], 0x556b1439ec98
&a[1][14], 0x556b1439e430
&b[14], 0x556b1439eca0
&a[1][15], 0x556b1439e438
&b[15], 0x556b1439eca8
&c[1], 0x556b1439ecc8
&a[2][0], 0x556b1439e450
&b[0], 0x556b1439ec30
&a[2][1], 0x556b1439e458
&b[1], 0x556b1439ec38
&a[2][2], 0x556b1439e460
&b[2], 0x556b1439ec40
&a[2][3], 0x556b1439e468
&b[3], 0x556b1439ec48
&a[2][4], 0x556b1439e470
&b[4], 0x556b1439ec50
&a[2][5], 0x556b1439e478
&b[5], 0x556b1439ec58
&a[2][6], 0x556b1439e480
&b[6], 0x556b1439ec60
&a[2][7], 0x556b1439e488
&b[7], 0x556b1439ec68
&a[2][8], 0x556b1439e490
&b[8], 0x556b1439ec70
&a[2][9], 0x556b1439e498
&b[9], 0x556b1439ec78
&a[2][10], 0x556b1439e4a0
&b[10], 0x556b1439ec80
&a[2][11], 0x556b1439e4a8
&b[11], 0x556b1439ec88
&a[2][12], 0x556b1439e4b0
&b[12], 0x556b1439ec90
&a[2][13], 0x556b1439e4b8
&b[13], 0x556b1439ec98
&a[2][14], 0x556b1439e4c0
&b[14], 0x556b1439eca0
&a[2][15], 0x556b1439e4c8
&b[15], 0x556b1439eca8
&c[2], 0x556b1439ecd0
&a[3][0], 0x556b1439e4e0
&b[0], 0x556b1439ec30
&a[3][1], 0x556b1439e4e8
&b[1], 0x556b1439ec38
&a[3][2], 0x556b1439e4f0
&b[2], 0x556b1439ec40
&a[3][3], 0x556b1439e4f8
&b[3], 0x556b1439ec48
&a[3][4], 0x556b1439e500
&b[4], 0x556b1439ec50
&a[3][5], 0x556b1439e508
&b[5], 0x556b1439ec58
&a[3][6], 0x556b1439e510
&b[6], 0x556b1439ec60
&a[3][7], 0x556b1439e518
&b[7], 0x556b1439ec68
&a[3][8], 0x556b1439e520
&b[8], 0x556b1439ec70
&a[3][9], 0x556b1439e528
&b[9], 0x556b1439ec78
&a[3][10], 0x556b1439e530
&b[10], 0x556b1439ec80
&a[3][11], 0x556b1439e538
&b[11], 0x556b1439ec88
&a[3][12], 0x556b1439e540
&b[12], 0x556b1439ec90
&a[3][13], 0x556b1439e548
&b[13], 0x556b1439ec98
&a[3][14], 0x556b1439e550
&b[14], 0x556b1439eca0
&a[3][15], 0x556b1439e558
&b[15], 0x556b1439eca8
&c[3], 0x556b1439ecd8
&a[4][0], 0x556b1439e570
&b[0], 0x556b1439ec30
&a[4][1], 0x556b1439e578
&b[1], 0x556b1439ec38
&a[4][2], 0x556b1439e580
&b[2], 0x556b1439ec40
&a[4][3], 0x556b1439e588
&b[3], 0x556b1439ec48
&a[4][4], 0x556b1439e590
&b[4], 0x556b1439ec50
&a[4][5], 0x556b1439e598
&b[5], 0x556b1439ec58
&a[4][6], 0x556b1439e5a0
&b[6], 0x556b1439ec60
&a[4][7], 0x556b1439e5a8
&b[7], 0x556b1439ec68
&a[4][8], 0x556b1439e5b0
&b[8], 0x556b1439ec70
&a[4][9], 0x556b1439e5b8
&b[9], 0x556b1439ec78
&a[4][10], 0x556b1439e5c0
&b[10], 0x556b1439ec80
&a[4][11], 0x556b1439e5c8
&b[11], 0x556b1439ec88
&a[4][12], 0x556b1439e5d0
&b[12], 0x556b1439ec90
&a[4][13], 0x556b1439e5d8
&b[13], 0x556b1439ec98
&a[4][14], 0x556b1439e5e0
&b[14], 0x556b1439eca0
&a[4][15], 0x556b1439e5e8
&b[15], 0x556b1439eca8
&c[4], 0x556b1439ece0
&a[5][0], 0x556b1439e600
&b[0], 0x556b1439ec30
&a[5][1], 0x556b1439e608
&b[1], 0x556b1439ec38
&a[5][2], 0x556b1439e610
&b[2], 0x556b1439ec40
&a[5][3], 0x556b1439e618
&b[3], 0x556b1439ec48
&a[5][4], 0x556b1439e620
&b[4], 0x556b1439ec50
&a[5][5], 0x556b1439e628
&b[5], 0x556b1439ec58
&a[5][6], 0x556b1439e630
&b[6], 0x556b1439ec60
&a[5][7], 0x556b1439e638
&b[7], 0x556b1439ec68
&a[5][8], 0x556b1439e640
&b[8], 0x556b1439ec70
&a[5][9], 0x556b1439e648
&b[9], 0x556b1439ec78
&a[5][10], 0x556b1439e650
&b[10], 0x556b1439ec80
&a[5][11], 0x556b1439e658
&b[11], 0x556b1439ec88
&a[5][12], 0x556b1439e660
&b[12], 0x556b1439ec90
&a[5][13], 0x556b1439e668
&b[13], 0x556b1439ec98
&a[5][14], 0x556b1439e670
&b[14], 0x556b1439eca0
&a[5][15], 0x556b1439e678
&b[15], 0x556b1439eca8
&c[5], 0x556b1439ece8
&a[6][0], 0x556b1439e690
&b[0], 0x556b1439ec30
&a[6][1], 0x556b1439e698
&b[1], 0x556b1439ec38
&a[6][2], 0x556b1439e6a0
&b[2], 0x556b1439ec40
&a[6][3], 0x556b1439e6a8
&b[3], 0x556b1439ec48
&a[6][4], 0x556b1439e6b0
&b[4], 0x556b1439ec50
&a[6][5], 0x556b1439e6b8
&b[5], 0x556b1439ec58
&a[6][6], 0x556b1439e6c0
&b[6], 0x556b1439ec60
&a[6][7], 0x556b1439e6c8
&b[7], 0x556b1439ec68
&a[6][8], 0x556b1439e6d0
&b[8], 0x556b1439ec70
&a[6][9], 0x556b1439e6d8
&b[9], 0x556b1439ec78
&a[6][10], 0x556b1439e6e0
&b[10], 0x556b1439ec80
&a[6][11], 0x556b1439e6e8
&b[11], 0x556b1439ec88
&a[6][12], 0x556b1439e6f0
&b[12], 0x556b1439ec90
&a[6][13], 0x556b1439e6f8
&b[13], 0x556b1439ec98
&a[6][14], 0x556b1439e700
&b[14], 0x556b1439eca0
&a[6][15], 0x556b1439e708
&b[15], 0x556b1439eca8
&c[6], 0x556b1439ecf0
&a[7][0], 0x556b1439e720
&b[0], 0x556b1439ec30
&a[7][1], 0x556b1439e728
&b[1], 0x556b1439ec38
&a[7][2], 0x556b1439e730
&b[2], 0x556b1439ec40
&a[7][3], 0x556b1439e738
&b[3], 0x556b1439ec48
&a[7][4], 0x556b1439e740
&b[4], 0x556b1439ec50
&a[7][5], 0x556b1439e748
&b[5], 0x556b1439ec58
&a[7][6], 0x556b1439e750
&b[6], 0x556b1439ec60
&a[7][7], 0x556b1439e758
&b[7], 0x556b1439ec68
&a[7][8], 0x556b1439e760
&b[8], 0x556b1439ec70
&a[7][9], 0x556b1439e768
&b[9], 0x556b1439ec78
&a[7][10], 0x556b1439e770
&b[10], 0x556b1439ec80
&a[7][11], 0x556b1439e778
&b[11], 0x556b1439ec88
&a[7][12], 0x556b1439e780
&b[12], 0x556b1439ec90
&a[7][13], 0x556b1439e788
&b[13], 0x556b1439ec98
&a[7][14], 0x556b1439e790
&b[14], 0x556b1439eca0
&a[7][15], 0x556b1439e798
&b[15], 0x556b1439eca8
&c[7], 0x556b1439ecf8
&a[8][0], 0x556b1439e7b0
&b[0], 0x556b1439ec30
&a[8][1], 0x556b1439e7b8
&b[1], 0x556b1439ec38
&a[8][2], 0x556b1439e7c0
&b[2], 0x556b1439ec40
&a[8][3], 0x556b1439e7c8
&b[3], 0x556b1439ec48
&a[8][4], 0x556b1439e7d0
&b[4], 0x556b1439ec50
&a[8][5], 0x556b1439e7d8
&b[5], 0x556b1439ec58
&a[8][6], 0x556b1439e7e0
&b[6], 0x556b1439ec60
&a[8][7], 0x556b1439e7e8
&b[7], 0x556b1439ec68
&a[8][8], 0x556b1439e7f0
&b[8], 0x556b1439ec70
&a[8][9], 0x556b1439e7f8
&b[9], 0x556b1439ec78
&a[8][10], 0x556b1439e800
&b[10], 0x556b1439ec80
&a[8][11], 0x556b1439e808
&b[11], 0x556b1439ec88
&a[8][12], 0x556b1439e810
&b[12], 0x556b1439ec90
&a[8][13], 0x556b1439e818
&b[13], 0x556b1439ec98
&a[8][14], 0x556b1439e820
&b[14], 0x556b1439eca0
&a[8][15], 0x556b1439e828
&b[15], 0x556b1439eca8
&c[8], 0x556b1439ed00
&a[9][0], 0x556b1439e840
&b[0], 0x556b1439ec30
&a[9][1], 0x556b1439e848
&b[1], 0x556b1439ec38
&a[9][2], 0x556b1439e850
&b[2], 0x556b1439ec40
&a[9][3], 0x556b1439e858
&b[3], 0x556b1439ec48
&a[9][4], 0x556b1439e860
&b[4], 0x556b1439ec50
&a[9][5], 0x556b1439e868
&b[5], 0x556b1439ec58
&a[9][6], 0x556b1439e870
&b[6], 0x556b1439ec60
&a[9][7], 0x556b1439e878
&b[7], 0x556b1439ec68
&a[9][8], 0x556b1439e880
&b[8], 0x556b1439ec70
&a[9][9], 0x556b1439e888
&b[9], 0x556b1439ec78
&a[9][10], 0x556b1439e890
&b[10], 0x556b1439ec80
&a[9][11], 0x556b1439e898
&b[11], 0x556b1439ec88
&a[9][12], 0x556b1439e8a0
&b[12], 0x556b1439ec90
&a[9][13], 0x556b1439e8a8
&b[13], 0x556b1439ec98
&a[9][14], 0x556b1439e8b0
&b[14], 0x556b1439eca0
&a[9][15], 0x556b1439e8b8
&b[15], 0x556b1439eca8
&c[9], 0x556b1439ed08
&a[10][0], 0x556b1439e8d0
&b[0], 0x556b1439ec30
&a[10][1], 0x556b1439e8d8
&b[1], 0x556b1439ec38
&a[10][2], 0x556b1439e8e0
&b[2], 0x556b1439ec40
&a[10][3], 0x556b1439e8e8
&b[3], 0x556b1439ec48
&a[10][4], 0x556b1439e8f0
&b[4], 0x556b1439ec50
&a[10][5], 0x556b1439e8f8
&b[5], 0x556b1439ec58
&a[10][6], 0x556b1439e900
&b[6], 0x556b1439ec60
&a[10][7], 0x556b1439e908
&b[7], 0x556b1439ec68
&a[10][8], 0x556b1439e910
&b[8], 0x556b1439ec70
&a[10][9], 0x556b1439e918
&b[9], 0x556b1439ec78
&a[10][10], 0x556b1439e920
&b[10], 0x556b1439ec80
&a[10][11], 0x556b1439e928
&b[11], 0x556b1439ec88
&a[10][12], 0x556b1439e930
&b[12], 0x556b1439ec90
&a[10][13], 0x556b1439e938
&b[13], 0x556b1439ec98
&a[10][14], 0x556b1439e940
&b[14], 0x556b1439eca0
&a[10][15], 0x556b1439e948
&b[15], 0x556b1439eca8
&c[10], 0x556b1439ed10
&a[11][0], 0x556b1439e960
&b[0], 0x556b1439ec30
&a[11][1], 0x556b1439e968
&b[1], 0x556b1439ec38
&a[11][2], 0x556b1439e970
&b[2], 0x556b1439ec40
&a[11][3], 0x556b1439e978
&b[3], 0x556b1439ec48
&a[11][4], 0x556b1439e980
&b[4], 0x556b1439ec50
&a[11][5], 0x556b1439e988
&b[5], 0x556b1439ec58
&a[11][6], 0x556b1439e990
&b[6], 0x556b1439ec60
&a[11][7], 0x556b1439e998
&b[7], 0x556b1439ec68
&a[11][8], 0x556b1439e9a0
&b[8], 0x556b1439ec70
&a[11][9], 0x556b1439e9a8
&b[9], 0x556b1439ec78
&a[11][10], 0x556b1439e9b0
&b[10], 0x556b1439ec80
&a[11][11], 0x556b1439e9b8
&b[11], 0x556b1439ec88
&a[11][12], 0x556b1439e9c0
&b[12], 0x556b1439ec90
&a[11][13], 0x556b1439e9c8
&b[13], 0x556b1439ec98
&a[11][14], 0x556b1439e9d0
&b[14], 0x556b1439eca0
&a[11][15], 0x556b1439e9d8
&b[15], 0x556b1439eca8
&c[11], 0x556b1439ed18
&a[12][0], 0x556b1439e9f0
&b[0], 0x556b1439ec30
&a[12][1], 0x556b1439e9f8
&b[1], 0x556b1439ec38
&a[12][2], 0x556b1439ea00
&b[2], 0x556b1439ec40
&a[12][3], 0x556b1439ea08
&b[3], 0x556b1439ec48
&a[12][4], 0x556b1439ea10
&b[4], 0x556b1439ec50
&a[12][5], 0x556b1439ea18
&b[5], 0x556b1439ec58
&a[12][6], 0x556b1439ea20
&b[6], 0x556b1439ec60
&a[12][7], 0x556b1439ea28
&b[7], 0x556b1439ec68
&a[12][8], 0x556b1439ea30
&b[8], 0x556b1439ec70
&a[12][9], 0x556b1439ea38
&b[9], 0x556b1439ec78
&a[12][10], 0x556b1439ea40
&b[10], 0x556b1439ec80
&a[12][11], 0x556b1439ea48
&b[11], 0x556b1439ec88
&a[12][12], 0x556b1439ea50
&b[12], 0x556b1439ec90
&a[12][13], 0x556b1439ea58
&b[13], 0x556b1439ec98
&a[12][14], 0x556b1439ea60
&b[14], 0x556b1439eca0
&a[12][15], 0x556b1439ea68
&b[15], 0x556b1439eca8
&c[12], 0x556b1439ed20
&a[13][0], 0x556b1439ea80
&b[0], 0x556b1439ec30
&a[13][1], 0x556b1439ea88
&b[1], 0x556b1439ec38
&a[13][2], 0x556b1439ea90
&b[2], 0x556b1439ec40
&a[13][3], 0x556b1439ea98
&b[3], 0x556b1439ec48
&a[13][4], 0x556b1439eaa0
&b[4], 0x556b1439ec50
&a[13][5], 0x556b1439eaa8
&b[5], 0x556b1439ec58
&a[13][6], 0x556b1439eab0
&b[6], 0x556b1439ec60
&a[13][7], 0x556b1439eab8
&b[7], 0x556b1439ec68
&a[13][8], 0x556b1439eac0
&b[8], 0x556b1439ec70
&a[13][9], 0x556b1439eac8
&b[9], 0x556b1439ec78
&a[13][10], 0x556b1439ead0
&b[10], 0x556b1439ec80
&a[13][11], 0x556b1439ead8
&b[11], 0x556b1439ec88
&a[13][12], 0x556b1439eae0
&b[12], 0x556b1439ec90
&a[13][13], 0x556b1439eae8
&b[13], 0x556b1439ec98
&a[13][14], 0x556b1439eaf0
&b[14], 0x556b1439eca0
&a[13][15], 0x556b1439eaf8
&b[15], 0x556b1439eca8
&c[13], 0x556b1439ed28
&a[14][0], 0x556b1439eb10
&b[0], 0x556b1439ec30
&a[14][1], 0x556b1439eb18
&b[1], 0x556b1439ec38
&a[14][2], 0x556b1439eb20
&b[2], 0x556b1439ec40
&a[14][3], 0x556b1439eb28
&b[3], 0x556b1439ec48
&a[14][4], 0x556b1439eb30
&b[4], 0x556b1439ec50
&a[14][5], 0x556b1439eb38
&b[5], 0x556b1439ec58
&a[14][6], 0x556b1439eb40
&b[6], 0x556b1439ec60
&a[14][7], 0x556b1439eb48
&b[7], 0x556b1439ec68
&a[14][8], 0x556b1439eb50
&b[8], 0x556b1439ec70
&a[14][9], 0x556b1439eb58
&b[9], 0x556b1439ec78
&a[14][10], 0x556b1439eb60
&b[10], 0x556b1439ec80
&a[14][11], 0x556b1439eb68
&b[11], 0x556b1439ec88
&a[14][12], 0x556b1439eb70
&b[12], 0x556b1439ec90
&a[14][13], 0x556b1439eb78
&b[13], 0x556b1439ec98
&a[14][14], 0x556b1439eb80
&b[14], 0x556b1439eca0
&a[14][15], 0x556b1439eb88
&b[15], 0x556b1439eca8
&c[14], 0x556b1439ed30
&a[15][0], 0x556b1439eba0
&b[0], 0x556b1439ec30
&a[15][1], 0x556b1439eba8
&b[1], 0x556b1439ec38
&a[15][2], 0x556b1439ebb0
&b[2], 0x556b1439ec40
&a[15][3], 0x556b1439ebb8
&b[3], 0x556b1439ec48
&a[15][4], 0x556b1439ebc0
&b[4], 0x556b1439ec50
&a[15][5], 0x556b1439ebc8
&b[5], 0x556b1439ec58
&a[15][6], 0x556b1439ebd0
&b[6], 0x556b1439ec60
&a[15][7], 0x556b1439ebd8
&b[7], 0x556b1439ec68
&a[15][8], 0x556b1439ebe0
&b[8], 0x556b1439ec70
&a[15][9], 0x556b1439ebe8
&b[9], 0x556b1439ec78
&a[15][10], 0x556b1439ebf0
&b[10], 0x556b1439ec80
&a[15][11], 0x556b1439ebf8
&b[11], 0x556b1439ec88
&a[15][12], 0x556b1439ec00
&b[12], 0x556b1439ec90
&a[15][13], 0x556b1439ec08
&b[13], 0x556b1439ec98
&a[15][14], 0x556b1439ec10
&b[14], 0x556b1439eca0
&a[15][15], 0x556b1439ec18
&b[15], 0x556b1439eca8
&c[15], 0x556b1439ed38
28799.000000,22046
&a[0][0], 0x56450828d330
&b[0], 0x56450828dc30
&a[0][1], 0x56450828d338
&b[1], 0x56450828dc38
&a[0][2], 0x56450828d340
&b[2], 0x56450828dc40
&a[0][3], 0x56450828d348
&b[3], 0x56450828dc48
&a[0][4], 0x56450828d350
&b[4], 0x56450828dc50
&a[0][5], 0x56450828d358
&b[5], 0x56450828dc58
&a[0][6], 0x56450828d360
&b[6], 0x56450828dc60
&a[0][7], 0x56450828d368
&b[7], 0x56450828dc68
&a[0][8], 0x56450828d370
&b[8], 0x56450828dc70
&a[0][9], 0x56450828d378
&b[9], 0x56450828dc78
&a[0][10], 0x56450828d380
&b[10], 0x56450828dc80
&a[0][11], 0x56450828d388
&b[11], 0x56450828dc88
&a[0][12], 0x56450828d390
&b[12], 0x56450828dc90
&a[0][13], 0x56450828d398
&b[13], 0x56450828dc98
&a[0][14], 0x56450828d3a0
&b[14], 0x56450828dca0
&a[0][15], 0x56450828d3a8
&b[15], 0x56450828dca8
&c[0], 0x56450828dcc0
&a[1][0], 0x56450828d3c0
&b[0], 0x56450828dc30
&a[1][1], 0x56450828d3c8
&b[1], 0x56450828dc38
&a[1][2], 0x56450828d3d0
&b[2], 0x56450828dc40
&a[1][3], 0x56450828d3d8
&b[3], 0x56450828dc48
&a[1][4], 0x56450828d3e0
&b[4], 0x56450828dc50
&a[1][5], 0x56450828d3e8
&b[5], 0x56450828dc58
&a[1][6], 0x56450828d3f0
&b[6], 0x56450828dc60
&a[1][7], 0x56450828d3f8
&b[7], 0x56450828dc68
&a[1][8], 0x56450828d400
&b[8], 0x56450828dc70
&a[1][9], 0x56450828d408
&b[9], 0x56450828dc78
&a[1][10], 0x56450828d410
&b[10], 0x56450828dc80
&a[1][11], 0x56450828d418
&b[11], 0x56450828dc88
&a[1][12], 0x56450828d420
&b[12], 0x56450828dc90
&a[1][13], 0x56450828d428
&b[13], 0x56450828dc98
&a[1][14], 0x56450828d430
&b[14], 0x56450828dca0
&a[1][15], 0x56450828d438
&b[15], 0x56450828dca8
&c[1], 0x56450828dcc8
&a[2][0], 0x56450828d450
&b[0], 0x56450828dc30
&a[2][1], 0x56450828d458
&b[1], 0x56450828dc38
&a[2][2], 0x56450828d460
&b[2], 0x56450828dc40
&a[2][3], 0x56450828d468
&b[3], 0x56450828dc48
&a[2][4], 0x56450828d470
&b[4], 0x56450828dc50
&a[2][5], 0x56450828d478
&b[5], 0x56450828dc58
&a[2][6], 0x56450828d480
&b[6], 0x56450828dc60
&a[2][7], 0x56450828d488
&b[7], 0x56450828dc68
&a[2][8], 0x56450828d490
&b[8], 0x56450828dc70
&a[2][9], 0x56450828d498
&b[9], 0x56450828dc78
&a[2][10], 0x56450828d4a0
&b[10], 0x56450828dc80
&a[2][11], 0x56450828d4a8
&b[11], 0x56450828dc88
&a[2][12], 0x56450828d4b0
&b[12], 0x56450828dc90
&a[2][13], 0x56450828d4b8
&b[13], 0x56450828dc98
&a[2][14], 0x56450828d4c0
&b[14], 0x56450828dca0
&a[2][15], 0x56450828d4c8
&b[15], 0x56450828dca8
&c[2], 0x56450828dcd0
&a[3][0], 0x56450828d4e0
&b[0], 0x56450828dc30
&a[3][1], 0x56450828d4e8
&b[1], 0x56450828dc38
&a[3][2], 0x56450828d4f0
&b[2], 0x56450828dc40
&a[3][3], 0x56450828d4f8
&b[3], 0x56450828dc48
&a[3][4], 0x56450828d500
&b[4], 0x56450828dc50
&a[3][5], 0x56450828d508
&b[5], 0x56450828dc58
&a[3][6], 0x56450828d510
&b[6], 0x56450828dc60
&a[3][7], 0x56450828d518
&b[7], 0x56450828dc68
&a[3][8], 0x56450828d520
&b[8], 0x56450828dc70
&a[3][9], 0x56450828d528
&b[9], 0x56450828dc78
&a[3][10], 0x56450828d530
&b[10], 0x56450828dc80
&a[3][11], 0x56450828d538
&b[11], 0x56450828dc88
&a[3][12], 0x56450828d540
&b[12], 0x56450828dc90
&a[3][13], 0x56450828d548
&b[13], 0x56450828dc98
&a[3][14], 0x56450828d550
&b[14], 0x56450828dca0
&a[3][15], 0x56450828d558
&b[15], 0x56450828dca8
&c[3], 0x56450828dcd8
&a[4][0], 0x56450828d570
&b[0], 0x56450828dc30
&a[4][1], 0x56450828d578
&b[1], 0x56450828dc38
&a[4][2], 0x56450828d580
&b[2], 0x56450828dc40
&a[4][3], 0x56450828d588
&b[3], 0x56450828dc48
&a[4][4], 0x56450828d590
&b[4], 0x56450828dc50
&a[4][5], 0x56450828d598
&b[5], 0x56450828dc58
&a[4][6], 0x56450828d5a0
&b[6], 0x56450828dc60
&a[4][7], 0x56450828d5a8
&b[7], 0x56450828dc68
&a[4][8], 0x56450828d5b0
&b[8], 0x56450828dc70
&a[4][9], 0x56450828d5b8
&b[9], 0x56450828dc78
&a[4][10], 0x56450828d5c0
&b[10], 0x56450828dc80
&a[4][11], 0x56450828d5c8
&b[11], 0x56450828dc88
&a[4][12], 0x56450828d5d0
&b[12], 0x56450828dc90
&a[4][13], 0x56450828d5d8
&b[13], 0x56450828dc98
&a[4][14], 0x56450828d5e0
&b[14], 0x56450828dca0
&a[4][15], 0x56450828d5e8
&b[15], 0x56450828dca8
&c[4], 0x56450828dce0
&a[5][0], 0x56450828d600
&b[0], 0x56450828dc30
&a[5][1], 0x56450828d608
&b[1], 0x56450828dc38
&a[5][2], 0x56450828d610
&b[2], 0x56450828dc40
&a[5][3], 0x56450828d618
&b[3], 0x56450828dc48
&a[5][4], 0x56450828d620
&b[4], 0x56450828dc50
&a[5][5], 0x56450828d628
&b[5], 0x56450828dc58
&a[5][6], 0x56450828d630
&b[6], 0x56450828dc60
&a[5][7], 0x56450828d638
&b[7], 0x56450828dc68
&a[5][8], 0x56450828d640
&b[8], 0x56450828dc70
&a[5][9], 0x56450828d648
&b[9], 0x56450828dc78
&a[5][10], 0x56450828d650
&b[10], 0x56450828dc80
&a[5][11], 0x56450828d658
&b[11], 0x56450828dc88
&a[5][12], 0x56450828d660
&b[12], 0x56450828dc90
&a[5][13], 0x56450828d668
&b[13], 0x56450828dc98
&a[5][14], 0x56450828d670
&b[14], 0x56450828dca0
&a[5][15], 0x56450828d678
&b[15], 0x56450828dca8
&c[5], 0x56450828dce8
&a[6][0], 0x56450828d690
&b[0], 0x56450828dc30
&a[6][1], 0x56450828d698
&b[1], 0x56450828dc38
&a[6][2], 0x56450828d6a0
&b[2], 0x56450828dc40
&a[6][3], 0x56450828d6a8
&b[3], 0x56450828dc48
&a[6][4], 0x56450828d6b0
&b[4], 0x56450828dc50
&a[6][5], 0x56450828d6b8
&b[5], 0x56450828dc58
&a[6][6], 0x56450828d6c0
&b[6], 0x56450828dc60
&a[6][7], 0x56450828d6c8
&b[7], 0x56450828dc68
&a[6][8], 0x56450828d6d0
&b[8], 0x56450828dc70
&a[6][9], 0x56450828d6d8
&b[9], 0x56450828dc78
&a[6][10], 0x56450828d6e0
&b[10], 0x56450828dc80
&a[6][11], 0x56450828d6e8
&b[11], 0x56450828dc88
&a[6][12], 0x56450828d6f0
&b[12], 0x56450828dc90
&a[6][13], 0x56450828d6f8
&b[13], 0x56450828dc98
