&a[0][0], 0x55e60cd61330
&a[7][15], 0x558c21bf2798
&b[15], 0x558c21bf2ca8
&a[8][15], 0x558c21bf2828
&b[15], 0x558c21bf2ca8
&a[9][15], 0x558c21bf28b8
&b[15], 0x558c21bf2ca8
&a[10][15], 0x558c21bf2948
&b[15], 0x558c21bf2ca8
&a[11][15], 0x558c21bf29d8
&b[15], 0x558c21bf2ca8
&a[12][15], 0x558c21bf2a68
&b[15], 0x558c21bf2ca8
&a[13][15], 0x558c21bf2af8
&b[15], 0x558c21bf2ca8
&a[14][15], 0x558c21bf2b88
&b[15], 0x558c21bf2ca8
&a[15][15], 0x558c21bf2c18
&b[15], 0x558c21bf2ca8
&c[16], 0x558c21bf2d40
0.000000,0
